nome_organizacao,descricao_organizacao,categoria_organizacao,segmento_atuacao,tecnologias_disruptivas,fase_negocio,papel_no_ecossistema,M1_Agro,M2_Saude,M3_Infra_Mobilidade,M4_Transformacao_Digital,M5_Bioeconomia_Energia,M6_Defesa_Soberania
Ventrix Indústria e Comércio Ltda,"A Ventrix é uma empresa dedicada ao desenvolvimento tecnológico e a comercialização de soluções médicas, para o mercado nacional e internacional e possui a visão de ser reconhecida com uma das melhores empresas de desenvolvimento e comercialização de soluções médicas do País. De 2005 a 2007 a Ventrix dedicou-se a atividade de desenvolvimento de uma solução de telemedicina denominada Sistema Cardiofit. Em 2008 a Ventrix lançou o produto no mercado, sendo seu principal produto comercializado. O Sistema Cardiofit pode ser comprado ou alugado, com ou sem a realização de laudos, tornando inovadora a sua forma de comercialização junto ao mercado (pedido de patente). Em 2010 a empresa obteve licenciamento de exploração e patente de solução de curativo com pressão negativa para tratamento de feridas complexas desenvolvido pela Universidade de São Paulo – USP. No período de 2016 à 2017 a empresa obteve um projeto financiado pela FAPESP intitulado “Eletrocardiógrafo Miniaturizado para Monitorização Médica Remota”, concluído com sucesso e que resultou no produto iECG. O Responsável pelo projeto, enquanto professor da Universidade Federal de Itajubá (2010 a 2013) realizou três pesquisas de mestrado simultâneas fortemente relacionada com este projeto e mais uma pesquisa, também de mestrado, anterior a estas que validou antecipadamente o método de aquisição de dados remoto de um paciente e sua transmissão utilizando protocolos para redes sem fio. Todas estas pesquisas de mestrado foram co-orientadas pelo Sr. Roberto Castro Júnior, ex-professor desta Universidade e atual CEO da empresa Ventrix e Pesquisador Responsável por este projeto. A pesquisa inicial utilizou sensores de eletromiografia para avaliação de ativação muscular. Neste trabalho foi proposto um sensor de eletromiografia sem fio, com acelerômetro triaxil integrado a estrutura. A vantagem deste tipo de sensor foi a possibilidade de análise do padrão de atividade muscular durante a movimentação do paciente. Além da eletrônica, o projeto abrangeu também aspectos mecânicos. Um experimento prático em ser humano foi conduzido para verificar se o sensor foi capaz de captar sinais na superfície da pele humana, quando pode-se verificar o fato do sensor ser capaz de captar os sinais e transmiti-los utilizando protocolos de uma rede sem fio. Este trabalho resultou na Dissertação de Mestrado: - Frederico Amaral de Oliveira. Sensor de eletromiografia sem fio à seco com acelerômetro triaxial integrado. 2012 - Universidade Federal de Itajubá. e no artigo publicado: - Oliveira; T. C. Pimenta; R. Castro, Jr (2013) ""Dry electromyography sensor with tri-axial accelerometer wireless for movement assessments"", In Proceedings of IEEE Biosignals and Biorobotics on February 18-20, 2013. The final version of paper will be indexed in IEEE Xplore. As outras três pesquisas simultâneas focaram no desenvolvimento de sistema que permite a monitorização de sinais biológicos e físicos à distância, tais como: eletrocardiografia (ECG), temperatura, aceleração, velocidade e deslocamento em até três eixos em diversos pontos no usuário, temperatura e umidade relativa do ar ambientes dentro de um raio de 1 km. Estes trabalhos resultaram nas seguintes Dissertações de Mestrado: - Marcos Aleixo Júnior - Desenvolvimento de circuito para aquisição de sinais fisiológicos com préprocessamento. 2013 - Universidade Federal de Itajubá. - Júlio de Siqueira - Desenvolvimento de interface homem-máquina (IHM) configurável para monitorização de sinais fisiológicos. 2013 - universidade Federal de Itajubá. - Guilherme Leal de Souza. Protocolo para processamento de sinais fisiológicos. Universidade Federal de Itajubá. (Ainda em fase final de elaboração) e também nos seguintes artigos publicados: - M. D. Aleixo, Jr.; G. Leal; J. Siqueira, P. C. Crepaldi e R. Castro, Jr (2012), ""Circuitos para aquisição e condicionamento de sinais para wireless body área sensor network (wbasn)"", In: XXIII Congresso Brasileiro em Engenharia Biomédica - XXIII CBEB, pp. 1637-1639 - G. Leal; J. Siqueira; M. D. Aleixo, Jr.; P. C. Crepaldi e R. Castro, Jr (2012), ""Protocolo de comunicação de sinais fisiológicos trafegando em uma rede Zigbee"", In: XXIII Congresso Brasileiro em Engenharia Biomédica - XXIII CBEB, pp. 2152-2154 Mais recentemente, no ano de 2020, a Ventrix está participando de um projeto conjunto com o Instituto Nacional de Telecomunicações (INATEL) para o Desenvolvimento de um Ventilador Pulmonar para ajudar no tratamento de pacientes durante a Pandemia de COVID-19, e também depois dela, pois trata-se de um Ventilador completo para cuidados críticos, podendo ser transferido, pós pandemia, para as UTIs e Centros Cirúrgicos, permitindo que não se perca o investimento realizado durante esta fase, deixando um legado importante para a saúde brasileira. Este projeto está com a apoio do EMBRAPII.",Empresa de Base Tecnológica (EBT),Saúde,Inteligência Artificial,"Escala (Nesta fase a EBT possui taxas de crescimento elevadas, já possui processos mais estruturados e busca se expandir para novas praças, como públicos, localidades, segmentos, etc)",Executores Diretos das Missões,,,,,,
Inflame Tecnologia,"A Inflame Technology é uma empresa fundada em 2022 no Brasil por uma equipe de pesquisadores que oferece serviços customizados de blockchain. Com o advento da tecnologia Blockchain, nossa equipe percebeu a necessidade do mercado por serviços especializados com transparência e qualidade. Por isso, nossa missão é fornecer os melhores serviços para o desenvolvimento de aplicativos descentralizados de blockchain (dApps) e auditorias de contratos inteligentes em busca das principais vulnerabilidades de segurança e melhores práticas de codificação. Recentemente, obtivemos ótimos resultados desenvolvendo soluções para clientes globais, realizando auditoria de segurança em contratos inteligentes e realizando integrações de sistemas com a rede Blockchain. Sendo assim, esperamos cada vez mais expandirmos nossos clientes e difundir a tecnologia Blockchain nas empresas brasileiras.",Empresa de Base Tecnológica (EBT),Tecnologia da informação,"Blockchain, IOT (Internet das Coisas)","Operação (Fase em que a EBT atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)",Executores Diretos das Missões,,,,,,
Compilart Tecnologia,Empresa de desenvolvimento de software para food service. Com propósito é a otimização de processos gerenciais para empresas desse ramo.,Empresa de Base Tecnológica (EBT),Alimentos,,,Executores Diretos das Missões,,,,,,
Freelaw,"Novas oportunidades no Direito, conectamos escritórios de advocacia a
profissionais qualificados para executar demandas jurídicas específicas.",Startup,Direito,,,Executores Diretos das Missões,,,,,,
M&M Soluções,"A M&M Soluções é uma startup de base tecnológica que alem de desenvolver produtos próprios presta serviços de desenvolvimento, ja fomos premiados pela ABDI em 2019 no programa startup industria e temos como resultado grades indústrias como cliente.",Startup,"Construção, Saúde, Indústria 4.0",Impressão 3D,"Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)",Executores Diretos das Missões,,,,,,
Allugator,Plataforma online de economia compartilhada que conecta pessoas para alugarem todo tipo de produtos/itens/bens/coisas entre si.,Startup,Publicidade,,3. Tração,Executores Diretos das Missões,,,,,,
GF Tech Business,"Start up no ramo de marketing digital e desenvolvimento de aplicativos, mais de 3 anos de mercado, trazendo soluções para mais de 30 empresas. Captação de clientes nas redes sociais é o nosso cargo chefe. Em contra partida o desenvolvimento de aplicações que resolvam alguns problemas da sociedade. ",Empresa de Base Tecnológica (EBT),"Mobilidade, Negócios sociais, Publicidade, Segurança, Vendas",Blockchain,"Escala (Nesta fase a EBT possui taxas de crescimento elevadas, já possui processos mais estruturados e busca se expandir para novas praças, como públicos, localidades, segmentos, etc)",Executores Diretos das Missões,,,,,,
Sii Smart,"Especializada em gestão e gerenciamento de espaços, a Sii Smart é uma empresa sediada em Belo Horizonte, que incorpora o que há de mais atual em tecnologia, levando os conceitos de IoT – Internet da Coisas – para os mais diversos setores.
Nossas soluções promovem uma redução dos custos operacionais, ao proporcionar um uso mais eficiente dos ambientes, além de reduzir em até 40% o consumo de
energia, mesmo em edificações já construídas. Possuímos cases de sucesso no grupo FCA, Banco do Brasil, Rede Pague Menos e Rio Quente Resorts. Fomos os vencedores no Edital Procel Edifica para participar dos selos de Edificações sustentáveis.",Startup,"Construção, Energia, Entretenimento, Gestão de negócios, Saúde, Indústria 4.0, Cidades inteligentes","Big Data, IOT (Internet das Coisas)","Tração (Início da consolidação e repetição de processos para áreas da startup, como vendas, marketing, recursos humanos, sucesso do cliente etc)",Executores Diretos das Missões,,,,,,
Acerti Negociação,"Desenvolvemos uma plataforma de negociação online disruptiva, a qual empodera o aluno a ser o agente da negociação. Somos um marketplace neutro e amigável, onde as empresas concentram seus créditos criando parâmetros de negociação, e os devedores são convidados a visitar o canal, possibilitando localizar seus débitos e negociá-los de forma automática, prática e segura. Tudo acontece online, 24/7 , sem atrito.",Startup,Finanças,Big Data,Ideação (Fase de concepção da ideia até consolidação do Mínimo Produto Viável - MVP para um nicho de mercado específico),Executores Diretos das Missões,,,,,,
Exsto Tecnologia,A Exsto desenvolve soluções para aulas práticas e de laboratório para o ensino em cursos técnicos e de engenharia.,Empresa de Base Tecnológica (EBT),"Educação, Indústria 4.0","Impressão 3D, IOT (Internet das Coisas), Realidade aumentada",Consolidado no mercado (EBT é um dos principais líderes no mercado em que atua e já construiu barreiras à entrada relevantes),Executores Diretos das Missões,,,,,,
SISTER TECNOLOGIA E INOVAÇÃO LTDA,"Este projeto tem o foco no desenvolvimento de ferramentas MOBILE, operadas por operacionalizadas por smartphones, visando a completa integração do Gestor / motorista/ Aluno. Otimizando as rotas com todo o controle dos veículos e alunos transportados, com relatórios simples e objetivos para que o gestor obtenha o máximo de economia e qualidade no serviço prestado. A tecnologia empregada, possibilita o registro de toda a operação , mesmo que os aparelhos estejam off line , se diferenciando também pela escalabilidade que o projeto permite, uma vez que não será necessária a instalação de qualquer hardware nos veículos prestadores de serviço.",Startup,"Automóveis, Finanças, Gestão de negócios, Mobilidade",Big Data,"Escala (Nesta fase a startup possui taxas de crescimento elevadas, já possui processos mais estruturados e busca se expandir para novas praças, como públicos, localidades, segmentos, etc)",Executores Diretos das Missões,,,,,,
Quiz Class,"O Quiz Class é uma solução de geração de Leads por meio de Quizzes personalizados e integrados. Ao longo do nosso tempo de atuação, nosso clientes e usuários já geraram mais de 80mil Leads com a nossa ferramenta, gerando valor para suas empresas.",Startup,"Educação, Publicidade, Tecnologia da informação",Machine Learning,"Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)",Executores Diretos das Missões,,,,,,
Tecnologia de Saúde Aplicativo Q21 Ltda,"A Q21 é uma plataforma odontológica com aplicativo que conecta dentistas a seus pacientes para melhorar a saúde bucal a partir do acompanhamento individualizado a partir da análise de risco, com educação em saúde pós-consulta e estímulo à prevenção. Temos 20 dentistas clientes e mais de 700 aplicativos em uso.",Startup,Saúde,Nenhuma,"Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)",Executores Diretos das Missões,,,,,,
ALeph,"Serviços de consultoria e assessoramento, supervisão e gerenciamento de projetos, P&D e desenvolvimento integrado de aproveitamento energético",Startup,Energia,Nenhuma,"Tração (Início da consolidação e repetição de processos para áreas da startup, como vendas, marketing, recursos humanos, sucesso do cliente etc)",Executores Diretos das Missões,,,,,,
Inteli - Serviços de Inteligência,"Objetivo: desenvolvimento de inovações na área de segurança de máquinas e cogeração. Resultados: desenvolvimentos de proteções para máquinas do setor calçadista e frigorífico. Desenvolvimento de equação matemática para calcular os ganhos econômicos, ambientais e comercialização de crédito de carbono para o sistema de cogeração de fundo. ",Empresa de Base Tecnológica (EBT),"Agronegócio, Alimentos, Energia, Mineração, Segurança",Nenhuma,"Escala (Nesta fase a EBT possui taxas de crescimento elevadas, já possui processos mais estruturados e busca se expandir para novas praças, como públicos, localidades, segmentos, etc)",Executores Diretos das Missões,,,,,,
GUIA CIVIL,"O GUIA CIVIL é uma plataforma de gestão de obras, focada na gestão de risco das etapas construtivas. Traz flexibilidade e autonomia em relação ao tempo para os profissionais da construção civil, além de possibilitar às pessoas que estão construindo ou reformando o acompanhamento da obra. Proporciona uma experiência única ao usuário, pois é uma plataforma digital simples e interativa, organizando os dados de forma prática e responsável, indicando informações em tempo real conforme o andamento da obra e garantindo ajustes e atualizações, diminuindo o retrabalho e atrasos na obra.",Startup,Construção,,,Executores Diretos das Missões,,,,,,
